dx=0.500 dt=0.010 D=10.000 r=0.400 
t=10.000 
x c_init c_final 
0.000 0.000 0.004 
0.500 0.000 0.008 
1.000 0.000 0.012 
1.500 0.000 0.016 
2.000 0.000 0.020 
2.500 0.000 0.024 
3.000 0.000 0.028 
3.500 0.000 0.032 
4.000 0.000 0.036 
4.500 0.000 0.040 
5.000 0.000 0.044 
5.500 0.000 0.048 
6.000 0.000 0.052 
6.500 0.000 0.056 
7.000 0.000 0.060 
7.500 0.000 0.064 
8.000 0.000 0.068 
8.500 0.000 0.072 
9.000 0.000 0.076 
9.500 0.000 0.080 
10.000 0.000 0.084 
10.500 0.000 0.087 
11.000 0.000 0.091 
11.500 0.000 0.095 
12.000 0.000 0.099 
12.500 0.000 0.102 
13.000 0.000 0.106 
13.500 0.000 0.110 
14.000 0.000 0.113 
14.500 0.000 0.116 
15.000 0.000 0.120 
15.500 0.000 0.123 
16.000 0.000 0.126 
16.500 0.001 0.129 
17.000 0.002 0.132 
17.500 0.004 0.135 
18.000 0.007 0.137 
18.500 0.015 0.140 
19.000 0.027 0.142 
19.500 0.049 0.144 
20.000 0.082 0.146 
20.500 0.132 0.148 
21.000 0.202 0.149 
21.500 0.294 0.151 
22.000 0.407 0.152 
22.500 0.535 0.153 
23.000 0.670 0.154 
23.500 0.799 0.155 
24.000 0.905 0.155 
24.500 0.975 0.155 
25.000 1.000 0.156 
25.500 0.975 0.155 
26.000 0.905 0.155 
26.500 0.799 0.155 
27.000 0.670 0.154 
27.500 0.535 0.153 
28.000 0.407 0.152 
28.500 0.294 0.151 
29.000 0.202 0.149 
29.500 0.132 0.148 
30.000 0.082 0.146 
30.500 0.049 0.144 
31.000 0.027 0.142 
31.500 0.015 0.140 
32.000 0.007 0.137 
32.500 0.004 0.135 
33.000 0.002 0.132 
33.500 0.001 0.129 
34.000 0.000 0.126 
34.500 0.000 0.123 
35.000 0.000 0.120 
35.500 0.000 0.116 
36.000 0.000 0.113 
36.500 0.000 0.110 
37.000 0.000 0.106 
37.500 0.000 0.102 
38.000 0.000 0.099 
38.500 0.000 0.095 
39.000 0.000 0.091 
39.500 0.000 0.087 
40.000 0.000 0.084 
40.500 0.000 0.080 
41.000 0.000 0.076 
41.500 0.000 0.072 
42.000 0.000 0.068 
42.500 0.000 0.064 
43.000 0.000 0.060 
43.500 0.000 0.056 
44.000 0.000 0.052 
44.500 0.000 0.048 
45.000 0.000 0.044 
45.500 0.000 0.040 
46.000 0.000 0.036 
46.500 0.000 0.032 
47.000 0.000 0.028 
47.500 0.000 0.024 
48.000 0.000 0.020 
48.500 0.000 0.016 
49.000 0.000 0.012 
49.500 0.000 0.008 
50.000 0.000 0.004 
