DateStar DateEnd TotalRain MaxRain MaxWind  
720053 720056 135.087 49.527 15.916
720160 720160 102.166 102.166 22.041
720166 720166 54.227 54.227 11.961
720422 720422 40.379 40.379 12.555
720431 720432 95.790 53.533 17.353
720442 720444 106.457 44.666 17.357
720479 720479 61.339 61.339 15.201
720500 720503 150.250 59.602 11.822
720572 720572 52.926 52.926 12.946
721099 721099 45.584 45.584 19.272
721126 721127 66.286 45.125 15.636
721179 721179 41.003 41.003 11.523
721182 721182 96.440 96.440 15.782
721540 721540 43.687 43.687 13.431
721556 721556 54.094 54.094 16.489
721888 721888 56.677 56.677 12.607
721900 721901 185.031 153.790 14.828
721941 721941 43.142 43.142 10.008
722312 722312 59.195 59.195 14.316
723010 723014 135.467 56.716 15.719
723017 723018 72.941 40.050 11.431
723063 723063 45.238 45.238 11.884
723325 723325 44.200 44.200 10.988
723356 723362 171.990 77.196 16.971
723375 723375 40.718 40.718 14.657
723378 723380 98.539 41.557 11.341
723391 723391 42.036 42.036 11.396
723405 723405 58.083 58.083 10.770
723417 723418 95.438 67.205 13.884
723723 723724 94.741 62.144 11.381
723812 723813 92.647 60.249 12.205
724113 724115 116.925 65.579 13.249
724143 724143 46.468 46.468 12.266
724243 724243 49.995 49.995 12.903
724458 724458 121.321 121.321 13.477
724475 724479 251.529 80.205 15.001
724511 724511 49.307 49.307 12.151
724844 724844 43.695 43.695 11.356
724885 724886 158.287 114.953 17.243
724892 724893 73.227 40.767 14.276
725268 725268 60.328 60.328 12.855
725290 725290 51.744 51.744 10.063
725535 725535 57.959 57.959 21.533
725563 725564 78.837 57.871 11.995
725567 725571 123.116 72.410 13.787
725578 725578 40.427 40.427 16.058
725922 725924 159.575 79.891 11.317
725978 725978 55.693 55.693 17.622
726024 726024 42.985 42.985 14.463
726042 726042 43.753 43.753 12.809
726282 726283 87.908 57.866 12.732
726308 726309 64.147 40.397 16.365
726341 726341 45.545 45.545 14.377
726623 726623 47.064 47.064 14.449
726660 726661 66.025 42.097 16.574
726709 726709 43.303 43.303 13.391
726727 726727 55.611 55.611 18.508
727032 727033 103.826 53.072 12.360
727076 727077 103.713 80.380 27.347
727099 727099 46.724 46.724 15.656
727264 727264 48.125 48.125 16.600
727360 727363 139.757 74.934 17.800
727378 727379 116.059 65.657 14.800
727382 727390 448.569 102.796 19.200
727394 727394 66.627 66.627 18.600
727690 727690 49.837 49.837 13.995
727799 727799 42.901 42.901 10.068
727807 727807 61.151 61.151 19.365
728102 728102 40.535 40.535 14.912
728133 728133 45.731 45.731 10.743
728142 728142 40.871 40.871 11.613
728146 728146 92.856 92.856 16.846
728533 728533 56.434 56.434 14.730
728771 728771 64.914 64.914 18.162
728866 728866 46.062 46.062 13.047
728897 728897 41.014 41.014 14.323
729193 729195 120.515 74.754 16.001
729200 729200 74.605 74.605 14.348
729209 729210 103.459 72.873 11.286
729571 729571 64.311 64.311 12.322
729606 729606 48.397 48.397 13.046
729621 729622 87.514 63.173 23.985
729885 729885 48.850 48.850 10.686
729907 729907 75.685 75.685 14.637
729935 729936 165.119 104.612 14.943
729939 729939 56.990 56.990 11.004
729966 729966 43.481 43.481 11.317
729984 729984 44.850 44.850 10.840
730287 730287 41.744 41.744 13.954
730294 730294 46.321 46.321 11.159
730640 730640 84.035 84.035 11.572
730658 730664 189.866 84.759 11.802
730680 730680 41.988 41.988 11.462
730726 730729 119.103 49.799 16.746
731350 731350 47.237 47.237 15.654
731420 731421 75.788 45.973 10.777
731452 731452 41.752 41.752 13.059
731474 731474 41.979 41.979 12.409
731507 731507 77.100 77.100 18.135
731762 731767 292.828 84.526 11.335
731771 731772 107.320 63.472 11.533
731822 731822 55.384 55.384 12.547
732168 732168 43.857 43.857 12.283
732482 732482 53.223 53.223 16.783
732498 732500 103.081 55.686 10.333
732525 732531 222.469 61.394 18.359
732554 732554 84.466 84.466 11.200
732567 732567 62.748 62.748 19.772
732858 732862 258.785 82.261 14.316
733186 733186 53.654 53.654 10.454
733224 733232 346.179 95.547 13.541
733304 733304 102.886 102.886 18.098
733591 733591 61.202 61.202 16.360
733612 733612 42.212 42.212 13.348
733995 733996 69.744 47.455 13.675
734041 734041 63.467 63.467 13.206
734249 734249 40.684 40.684 14.281
734365 734366 68.702 48.294 11.083
734695 734698 127.437 63.764 11.838
734710 734711 94.215 61.777 13.027
734737 734737 46.065 46.065 10.516
