Var1,Var2
61855,0
62073,0
56947,1
6718,0
57236,1
6721,1
6776,1
6745,1
6739,1
6922,1
736,1
735,0
6760,1
6762,1
733,1
6733,1
6740,1
6735,0
6742,0
61903,1
6930,1
6771,0
16588,0
741,0
6773,1
6765,1
6920,1
6741,1
6774,0
6775,0
6731,1
6732,1
6736,1
6737,1
753,0
754,1
6772,1
6724,1
6719,1
6928,1
6921,1
6769,1
6770,0
6766,1
61899,1
6725,1
6723,1
6727,0
6722,1
6726,1
6927,1
6767,1
6768,1
6729,0
6777,1
6764,1
6728,1
6925,1
6720,1
6738,1
734,1
6929,1
6717,1
55641,1
6734,1
6743,1
6744,1
5340,0
5455,1
5354,1
5469,1
57237,1
5357,0
5508,1
5458,1
5301,0
62085,0
5302,1
5300,1
5353,1
5358,1
5454,1
17293,1
30235,1
5475,1
16586,0
489,1
57240,1
478,0
56558,0
5493,1
6713,1
5341,1
5311,1
5339,1
5365,1
5368,0
483,1
5478,0
5332,1
5317,1
5347,1
5474,1
5476,1
481,1
5356,1
30002,1
5298,0
5350,1
5355,1
5305,1
5348,1
5346,0
5342,1
5343,1
5349,0
5310,1
5303,0
5307,0
5481,1
16587,0
5471,1
6761,0
5299,0
5295,0
492,1
5296,0
496,1
5297,1
5313,1
5316,0
5470,1
486,1
484,1
5459,0
5462,0
5461,1
5460,1
5456,1
5312,1
5472,1
5352,1
5344,1
5345,1
5294,1
5306,1
5308,1
5304,1
57241,1
5361,1
6609,1
6606,1
6582,0
6581,1
6617,1
25330,1
6618,1
6619,1
6607,1
6602,0
6608,1
6836,1
6605,1
6715,0
6601,1
57029,1
61859,0
6554,0
6604,1
6674,1
56609,0
6716,1
6714,1
6616,1
6615,0
6614,0
5446,1
5431,1
5412,1
5439,1
475,0
5392,1
55698,0
5466,1
5464,1
5465,0
5467,0
5453,0
5422,0
5425,1
5434,1
5436,1
5397,1
5400,0
479,1
5415,1
5487,1
5408,1
5409,1
55536,1
62057,0
5441,1
5489,1
5490,0
5488,1
5427,1
5428,1
5402,1
5410,0
17294,1
5496,1
5405,1
5480,0
5482,1
5448,1
5451,1
5484,1
5485,1
5387,1
5391,1
5390,1
5442,1
477,1
5486,1
5401,1
5421,1
5419,0
5411,1
5395,0
17297,1
5394,1
5393,1
5432,1
5424,1
482,1
5463,1
5430,1
17298,1
5450,1
5449,0
5498,1
5497,0
5418,1
5398,1
5426,0
5483,1
5479,1
5438,1
476,1
5437,1
5420,1
5416,0
5417,0
5447,1
5433,1
17290,1
5435,1
5413,1
5491,1
5492,1
17311,1
5443,1
5444,1
5445,1
5423,1
5406,0
5389,1
5403,1
5404,1
5407,0
17295,1
5388,1
17299,1
5414,1
17296,1
5452,1
5440,0
5587,1
5583,1
729,1
6676,1
6689,0
6675,1
6691,1
6631,1
5375,1
5373,1
5366,0
6578,1
5590,1
6650,0
6652,0
62084,0
6651,1
6659,0
6690,1
6686,1
6684,0
6685,1
6635,0
6633,1
6630,1
6632,1
5653,1
6664,0
5556,1
5545,1
6700,1
6679,0
18911,0
6748,1
6672,0
6709,0
706,0
5611,1
5617,1
5335,1
6657,1
6656,1
731,1
6680,0
6682,1
6681,0
5519,1
5571,1
705,0
5309,1
6665,0
5570,0
701,1
5562,0
5560,0
5579,1
5603,1
6634,1
6687,0
6710,1
6585,1
6586,1
5580,1
5574,1
6746,0
5509,0
5507,1
5506,1
5510,0
5503,1
6696,0
6695,0
5584,1
5585,0
5586,0
6660,1
5537,0
5363,1
6611,0
5569,0
5619,0
5618,1
6711,1
5527,1
727,0
6627,0
6688,1
5336,1
5337,1
6759,1
5558,0
25049,0
6704,1
6749,0
6752,0
6655,1
6654,1
5588,1
5624,1
5633,0
5513,0
5514,0
5515,1
5511,1
5637,1
5596,0
16747,0
5372,1
5371,1
6574,1
6599,0
5606,1
5605,1
5604,1
5607,0
5526,1
5523,0
6698,1
6702,1
6701,1
717,1
5524,1
716,1
5500,1
5501,0
5505,1
5598,1
5597,0
5517,0
5564,1
6694,1
5502,1
6756,1
5581,1
24088,0
5599,1
5374,1
5630,1
5631,1
5629,0
5622,0
707,1
6706,1
57097,0
57098,0
57100,0
57096,0
57099,0
57094,0
5542,1
5582,1
695,1
5595,1
5600,0
6491,0
5623,1
5625,1
5632,1
5651,1
5319,1
5529,0
5615,1
5643,0
5627,1
5641,1
713,1
5616,1
5318,0
5327,1
5647,0
5646,1
708,1
56286,0
5601,1
16749,0
5561,0
5638,1
5639,1
5577,1
6750,1
5334,1
5325,1
5326,1
5320,1
5518,1
5528,1
30760,1
56474,0
56475,0
56476,0
56477,0
57040,0
57041,0
5648,0
5654,1
5640,0
5555,1
5554,1
5656,1
5557,0
5565,1
726,1
6622,1
6621,1
694,1
5576,1
6671,1
6673,1
721,1
5589,1
723,1
23502,0
6577,1
5573,0
5613,1
5612,1
6571,1
6595,0
6597,1
702,0
6662,0
6663,0
6666,1
5634,1
5543,1
6697,1
5544,1
18929,0
56931,0
56956,0
56472,0
56471,0
55527,0
697,1
19144,1
698,0
5652,1
5370,1
6747,1
5364,1
6640,1
6592,1
6638,0
6590,1
6639,0
5593,0
5609,0
5594,1
5608,0
6637,1
6589,1
6636,1
5516,1
56946,1
5512,0
6693,1
6699,1
5553,1
6588,1
709,1
6712,1
56945,1
6667,1
5525,1
5546,1
6758,0
6754,1
6753,1
5559,0
6692,1
5635,1
5552,0
5504,0
5550,0
704,0
6625,1
6624,0
6612,1
6623,0
6613,1
6598,1
5338,1
5314,1
5636,1
6593,1
699,1
6572,1
6573,1
5328,1
5329,1
6653,1
5333,1
5331,1
5330,1
6670,0
5642,0
6626,1
6628,1
6755,1
6629,1
5369,1
6757,0
5650,0
5568,0
5567,0
5644,1
6646,1
714,1
5628,1
6661,0
24946,0
6658,0
6669,1
5602,1
5539,1
5541,1
5540,1
5621,1
5549,0
6642,0
6643,1
6649,1
6648,0
55737,0
5626,1
6583,1
6587,1
6584,1
5657,1
6668,1
5566,0
6641,0
6644,1
5531,0
5591,1
