dx=0.100 dt=0.001 Cr=0.100 r=0.200 
t=0.400 
x c_init c_final 
0.000 0.000 0.001 
0.100 0.000 0.001 
0.200 0.000 0.001 
0.300 0.000 0.001 
0.400 0.000 0.001 
0.500 0.000 0.001 
0.600 0.001 0.001 
0.700 0.002 0.001 
0.800 0.003 0.001 
0.900 0.006 0.001 
1.000 0.011 0.001 
1.100 0.020 0.001 
1.200 0.034 0.001 
1.300 0.056 0.001 
1.400 0.089 0.001 
1.500 0.135 0.001 
1.600 0.198 0.001 
1.700 0.278 0.001 
1.800 0.375 0.001 
1.900 0.487 0.001 
2.000 0.607 0.001 
2.100 0.726 0.001 
2.200 0.835 0.001 
2.300 0.923 0.001 
2.400 0.980 0.001 
2.500 1.000 0.001 
2.600 0.980 0.001 
2.700 0.923 0.001 
2.800 0.835 0.001 
2.900 0.726 0.001 
3.000 0.607 0.001 
3.100 0.487 0.001 
3.200 0.375 0.001 
3.300 0.278 0.001 
3.400 0.198 0.001 
3.500 0.135 0.001 
3.600 0.089 0.001 
3.700 0.056 0.001 
3.800 0.034 0.001 
3.900 0.020 0.001 
4.000 0.011 0.001 
4.100 0.006 0.002 
4.200 0.003 0.002 
4.300 0.002 0.002 
4.400 0.001 0.002 
4.500 0.000 0.002 
4.600 0.000 0.003 
4.700 0.000 0.003 
4.800 0.000 0.003 
4.900 0.000 0.004 
5.000 0.000 0.004 
5.100 0.000 0.005 
5.200 0.000 0.005 
5.300 0.000 0.006 
5.400 0.000 0.007 
5.500 0.000 0.008 
5.600 0.000 0.009 
5.700 0.000 0.010 
5.800 0.000 0.012 
5.900 0.000 0.013 
6.000 0.000 0.015 
6.100 0.000 0.017 
6.200 0.000 0.019 
6.300 0.000 0.021 
6.400 0.000 0.024 
6.500 0.000 0.027 
6.600 0.000 0.030 
6.700 0.000 0.034 
6.800 0.000 0.038 
6.900 0.000 0.042 
7.000 0.000 0.046 
7.100 0.000 0.051 
7.200 0.000 0.056 
7.300 0.000 0.061 
7.400 0.000 0.067 
7.500 0.000 0.073 
7.600 0.000 0.080 
7.700 0.000 0.087 
7.800 0.000 0.094 
7.900 0.000 0.101 
8.000 0.000 0.109 
8.100 0.000 0.117 
8.200 0.000 0.125 
8.300 0.000 0.134 
8.400 0.000 0.142 
8.500 0.000 0.151 
8.600 0.000 0.160 
8.700 0.000 0.168 
8.800 0.000 0.177 
8.900 0.000 0.185 
9.000 0.000 0.193 
9.100 0.000 0.201 
9.200 0.000 0.208 
9.300 0.000 0.214 
9.400 0.000 0.218 
9.500 0.000 0.220 
9.600 0.000 0.218 
9.700 0.000 0.209 
9.800 0.000 0.191 
9.900 0.000 0.157 
10.000 0.000 0.099 
