NoC,Code,Rain,Wind
1,54868,31,17.3
1,54868,27.1,22
1,54868,57.1,20
1,54868,39.6,26
2,54909,45.8,9.2
2,54909,56.5,9.5
2,54909,43.9,8.5
2,54909,28.4,9.6
2,54909,50.6,10.4
2,54909,42.2,8.6
2,54909,41.8,9.9
2,54909,62.9,12
2,54909,39.8,9.4
3,54916,50.5,8.7
3,54916,54.9,12.3
3,54916,78,8
3,54916,77.3,10.7
3,54916,71.8,14.7
3,54916,88,10
3,54916,34.3,11.3
3,54916,64.9,9
3,54916,51.5,9.3
3,54916,67.3,8
3,54916,69.4,9
3,54916,74.1,11.3
3,54916,29.5,8
3,54916,58,11
3,54916,26.5,11
3,54916,54.1,8
3,54916,57.1,11
3,54916,31.6,8
3,54916,86.1,13.7
3,54916,64.5,10
3,54916,41.3,10
3,54916,46.1,12.3
3,54916,25.4,11.3
3,54916,70.2,11
3,54916,28,8.3
3,54916,119.7,10.7
3,54916,28,8.7
3,54916,57.8,11.7
3,54916,33.1,16
3,54916,52.2,9
3,54916,47,8
3,54916,25.7,9
3,54916,101.2,13.6
3,54916,31.6,8.4
3,54916,58.6,10.3
3,54916,29.8,9.1
3,54916,184.7,14
3,54916,34.7,9.9
3,54916,38,8.6
3,54916,30.9,8.9
3,54916,35.6,8.9
3,54916,36.2,8.2
3,54916,49,16.4
3,54916,66.5,8.9
3,54916,50.8,8.1
4,54929,31.9,9.8
4,54929,42.7,8.4
4,54929,34.2,8.2
4,54929,57.7,10.9
4,54929,55.5,8.6
4,54929,88,10
4,54929,34.3,11.3
4,54929,64.9,9
4,54929,51.5,9.3
4,54929,67.3,8
4,54929,69.4,9
4,54929,74.1,11.3
4,54929,29.5,8
4,54929,58,11
4,54929,26.5,11
4,54929,54.1,8
4,54929,57.1,11
4,54929,31.6,8
4,54929,86.1,13.7
4,54929,64.5,10
4,54929,41.3,10
4,54929,46.1,12.3
4,54929,25.4,11.3
4,54929,70.2,11
4,54929,28,8.3
4,54929,119.7,10.7
4,54929,28,8.7
4,54929,57.8,11.7
4,54929,33.1,16
4,54929,52.2,9
4,54929,47,8
4,54929,25.7,9
4,54929,101.2,13.6
4,54929,31.6,8.4
4,54929,58.6,10.3
4,54929,29.8,9.1
4,54929,184.7,14
4,54929,34.7,9.9
4,54929,38,8.6
4,54929,30.9,8.9
4,54929,35.6,8.9
4,54929,36.2,8.2
4,54929,49,16.4
4,54929,66.5,8.9
4,54929,50.8,8.1
5,54938,26.5000000000001,11.7
5,54938,129.7,11
5,54938,82.9,8.3
5,54938,50.5,10
5,54938,35.2,12
5,54938,25,10
5,54938,45.2,8.7
5,54938,32.1,8
5,54938,53.9,9
5,54938,90.1,9.7
5,54938,26,9.7
5,54938,257.7,9
5,54938,91.9,8
5,54938,72,11
5,54938,27,12
5,54938,49.2,12
5,54938,39.8,10.7
5,54938,87.5,8
5,54938,26.6,8
5,54938,43.1,9
5,54938,35.2,8
5,54938,34.3,9
5,54938,28.4,8
5,54938,71.3,8
5,54938,26,9
5,54938,25,15
5,54938,29.6,8
5,54938,32.5,9.7
5,54938,55,8
5,54938,37.8,8.3
5,54938,62.6,8.7
5,54938,56.3,9
5,54938,121.6,9
5,54938,28.5,12.3
5,54938,69.7,9
5,54938,35.8,8
5,54938,26.4,8
5,54938,37,10
5,54938,29.7,8
5,54938,91.3,8.8
5,54938,72.2,10
5,54938,33.9,9.5
5,54938,43.3,8.4
5,54938,277.8,14.3
5,54938,56,10
5,54938,32.4,9.2
5,54938,60.4,8.2
5,54938,31.9,10.5
5,54938,54.3,9.3
5,54938,50.1,8.1
5,54938,37,9.4
5,54938,120.2,11
5,54938,27.8,8.1
5,54938,59.2,8.1
5,54938,67.6,8.2
6,54945,29.4,16
6,54945,78.7,13
6,54945,74.1,15
6,54945,31.2,9
6,54945,39.7,11
6,54945,25.2,11
6,54945,51.5,8
6,54945,66.2,15
6,54945,72,9
6,54945,183.4,15
6,54945,82.7,8.3
6,54945,127,9.7
6,54945,54.6,9
6,54945,68.1,9
6,54945,74.5,14
6,54945,41.2,11
6,54945,67.6,8
6,54945,30.4,9.3
6,54945,58.6,10
6,54945,25.2,9.7
6,54945,27.4,9.7
6,54945,66.1,13
6,54945,76.9,15
6,54945,31,8.3
6,54945,31,9
6,54945,58.9,10.3
6,54945,95.3,8
6,54945,28.3,8.7
6,54945,46.8,9.3
6,54945,35.6,10.7
6,54945,72.3,8
6,54945,67.3,13
6,54945,71.9,8.7
6,54945,50,10.3
6,54945,109.2,11
6,54945,42.1,14
6,54945,125.8,16
6,54945,49,8.3
6,54945,41.8,12
6,54945,120.4,8.7
6,54945,26.9,12
6,54945,35.9,9.3
6,54945,55.6,11.3
6,54945,33.9,13
6,54945,62.6,13.7
6,54945,70.2,12.7
6,54945,39.8,9
6,54945,30,12.3
6,54945,96.6,16.6
6,54945,62.9,10.4
6,54945,68.2,9.5
6,54945,84.8,8.7
6,54945,38.4,16.2
6,54945,32,8.8
6,54945,33.1,8.8
6,54945,109.7,11.6
6,54945,67.9,12.9
6,54945,107.2,16.4
6,54945,29.9,10.2
6,54945,50.3,8.8
6,54945,27,9
6,54945,112.5,8.6
6,54945,123.5,11
6,54945,60.2,8.8
6,54945,47.3,10.5
6,54945,152.1,19
6,54945,28.2,10.5
6,54945,25.2,12.6
6,54945,67.2,10.7
6,54945,73.5,10.3
6,54945,35.7,11
6,54945,40.6,10.7
6,54945,34.2,8.5
6,54945,47.9,9.9
6,54945,58.7,9.8
6,54945,180.6,12.4
7,54952,56.2,16
7,54952,32.7,15.3
7,54952,77.9,16
7,54952,25,15
7,54952,126.1,16.7
7,54952,104.6,37
7,54952,73.5,13.7
7,54952,32.4,16
7,54952,25.1,16
7,54952,26.9,16
7,54952,27.9,25
7,54952,53.1,21
7,54952,54.6,9
7,54952,68.1,9
7,54952,74.5,14
7,54952,41.2,11
7,54952,67.6,8
7,54952,30.4,9.3
7,54952,58.6,10
7,54952,25.2,9.7
7,54952,27.4,9.7
7,54952,66.1,13
7,54952,76.9,15
7,54952,31,8.3
7,54952,31,9
7,54952,58.9,10.3
7,54952,95.3,8
7,54952,28.3,8.7
7,54952,46.8,9.3
7,54952,35.6,10.7
7,54952,72.3,8
7,54952,67.3,13
7,54952,71.9,8.7
7,54952,50,10.3
7,54952,109.2,11
7,54952,42.1,14
7,54952,125.8,16
7,54952,49,8.3
7,54952,41.8,12
7,54952,120.4,8.7
7,54952,26.9,12
7,54952,35.9,9.3
7,54952,55.6,11.3
7,54952,33.9,13
7,54952,62.6,13.7
7,54952,70.2,12.7
7,54952,39.8,9
7,54952,30,12.3
7,54952,96.6,16.6
7,54952,62.9,10.4
7,54952,68.2,9.5
7,54952,84.8,8.7
7,54952,38.4,16.2
7,54952,32,8.8
7,54952,33.1,8.8
7,54952,109.7,11.6
7,54952,67.9,12.9
7,54952,107.2,16.4
7,54952,29.9,10.2
7,54952,50.3,8.8
7,54952,27,9
7,54952,112.5,8.6
7,54952,123.5,11
7,54952,60.2,8.8
7,54952,47.3,10.5
7,54952,152.1,19
7,54952,28.2,10.5
7,54952,25.2,12.6
7,54952,67.2,10.7
7,54952,73.5,10.3
7,54952,35.7,11
7,54952,40.6,10.7
7,54952,34.2,8.5
7,54952,47.9,9.9
7,54952,58.7,9.8
7,54952,180.6,12.4
8,58015,42.7,8.7
8,58015,29.5,8
8,58015,92.8,8.7
8,58015,39.5,9.7
8,58015,40.3,16.7
8,58015,25.5,8.2
8,58015,27.2,10.9
8,58015,55.7,8.7
8,58015,41.7,11.3
8,58015,34.1,11
8,58015,49.3,14.4
8,58015,73.5,9.9
8,58015,67.4,8
8,58015,26.2,9.7
8,58015,74.5,14
8,58015,41.2,11
8,58015,67.6,8
8,58015,30.4,9.3
8,58015,58.6,10
8,58015,25.2,9.7
8,58015,27.4,9.7
8,58015,66.1,13
8,58015,76.9,15
8,58015,31,8.3
8,58015,31,9
8,58015,58.9,10.3
8,58015,95.3,8
8,58015,28.3,8.7
8,58015,46.8,9.3
8,58015,35.6,10.7
8,58015,72.3,8
8,58015,67.3,13
8,58015,71.9,8.7
8,58015,50,10.3
8,58015,109.2,11
8,58015,42.1,14
8,58015,125.8,16
8,58015,49,8.3
8,58015,41.8,12
8,58015,120.4,8.7
8,58015,26.9,12
8,58015,35.9,9.3
8,58015,55.6,11.3
8,58015,33.9,13
8,58015,62.6,13.7
8,58015,70.2,12.7
8,58015,39.8,9
8,58015,30,12.3
8,58015,96.6,16.6
8,58015,62.9,10.4
8,58015,68.2,9.5
8,58015,84.8,8.7
8,58015,38.4,16.2
8,58015,32,8.8
8,58015,33.1,8.8
8,58015,109.7,11.6
8,58015,67.9,12.9
8,58015,107.2,16.4
8,58015,29.9,10.2
8,58015,50.3,8.8
8,58015,27,9
8,58015,112.5,8.6
8,58015,123.5,11
8,58015,60.2,8.8
8,58015,47.3,10.5
8,58015,152.1,19
8,58015,28.2,10.5
8,58015,25.2,12.6
8,58015,67.2,10.7
8,58015,73.5,10.3
8,58015,35.7,11
8,58015,40.6,10.7
8,58015,34.2,8.5
8,58015,47.9,9.9
8,58015,58.7,9.8
8,58015,180.6,12.4
9,58027,51.1,9.6
9,58027,43.2,8.2
9,58027,148,9
9,58027,56.3,13
9,58027,27.2,8
9,58027,41.5,8.3
9,58027,42.5,9
9,58027,37.9,8
9,58027,63.2,9.4
9,58027,43.4,9.8
9,58027,57.9,9.3
9,58027,39.7,9.5
9,58027,34,9
9,58027,32.7,8.8
9,58027,57.6,12
9,58027,28.8,8.3
9,58027,45.5,11.7
9,58027,32.2,12.4
9,58027,65.4,8.7
9,58027,31.7,10
9,58027,44.1,11
9,58027,225.5,8.3
9,58027,52.9,8
9,58027,72.6,13.3
9,58027,51.4,10.3
9,58027,25.1,10.7
9,58027,47.1,9.7
9,58027,78.1,9.3
9,58027,34,8.3
9,58027,70.6,10
9,58027,28.6,12.3
9,58027,77.4,9
9,58027,95,10.7
9,58027,60.2,9
9,58027,133.2,8
9,58027,28,9
9,58027,31.4,10
9,58027,35.3,8
9,58027,83.3,8
9,58027,59.3,8.7
9,58027,106.1,8.3
9,58027,315.4,12.3
9,58027,62.5,9
9,58027,40.7,9
9,58027,38.1,9
9,58027,52.7,9
9,58027,43.6,8
9,58027,27.9,9.3
9,58027,60.2,10.7
9,58027,52,15.4
9,58027,47.4,9.3
9,58027,115.3,9.4
9,58027,26.3,8.8
9,58027,30.5,10.9
9,58027,33.1,8.8
9,58027,109.7,11.6
9,58027,67.9,12.9
9,58027,107.2,16.4
9,58027,29.9,10.2
9,58027,50.3,8.8
9,58027,27,9
9,58027,112.5,8.6
9,58027,123.5,11
9,58027,60.2,8.8
9,58027,47.3,10.5
9,58027,152.1,19
9,58027,28.2,10.5
9,58027,25.2,12.6
9,58027,67.2,10.7
9,58027,73.5,10.3
9,58027,35.7,11
9,58027,40.6,10.7
9,58027,34.2,8.5
9,58027,47.9,9.9
9,58027,58.7,9.8
9,58027,180.6,12.4
10,58040,73.5,10
10,58040,31.5,9
10,58040,61,15.7
10,58040,32.5,8.7
10,58040,38.9,14.3
10,58040,26.8,8.30834466559524
10,58040,61,9.3
10,58040,176,14
10,58040,106.7,15.3
10,58040,152,8.3
10,58040,87.4,15.3
10,58040,31.6,17.3
10,58040,32.3,10
10,58040,94.4,10.3
10,58040,27.2,8
10,58040,79.7,11
10,58040,34.6,13.3
10,58040,29.3,14.7
10,58040,35.4,13
10,58040,70.4,13.7
10,58040,32.9,9
10,58040,28,8.7
10,58040,27.8,10
10,58040,53.3,10
10,58040,57.5,8.7
10,58040,48,8.7
10,58040,94.9,13
10,58040,26.9,8.7
10,58040,34.2,11
10,58040,43.5,9.3
10,58040,28.8,13
10,58040,83.2,10
10,58040,98.9,9
10,58040,36.3,9
10,58040,82.1,9
10,58040,45.4,14.3
10,58040,68.7,9
10,58040,29.4,8.3
10,58040,102,15
10,58040,94.9,9.3
10,58040,25.9,10.7
10,58040,66.8,12.7
10,58040,47.7,8.7
10,58040,122.5,11
10,58040,105.8,13
10,58040,41.6,8.7
10,58040,91.6,17
10,58040,25.6,9.7
10,58040,37.4,13.7
10,58040,109.3,14
10,58040,84.5,13.3
10,58040,33.4,11
10,58040,43.6,8.3
10,58040,92.2,11.3
10,58040,144,14.3
10,58040,31.9,15
10,58040,31.8,11
10,58040,34.4,9
10,58040,76,12.3
10,58040,48.7,9.7
10,58040,172.7,8
10,58040,48.2,9.3
10,58040,27.7,9.7
10,58040,78.4,9
10,58040,27.1,8.1
10,58040,110.4,8.2
10,58040,40.3,10
10,58040,35.3,11.7
10,58040,124.3,10.3
10,58040,39,12.5
10,58040,66.8,10.2
10,58040,27.9,8.3
10,58040,43.4,8.4
10,58040,175.4,8.2
10,58040,58.7,9.8
10,58040,180.6,12.4
11,58122,58.1,11
11,58122,32.3,9
11,58122,38.1,11.7
11,58122,29.1,11
11,58122,28.8,8.7
11,58122,39.4,10
11,58122,44.8,8
11,58122,49.1,8.7
11,58122,28.6999999999999,11.7
11,58122,68.7,9
11,58122,66,18
11,58122,96.7,9.3
11,58122,32.4,10.7
11,58122,68,8.3
11,58122,128.7,8.3
11,58122,75.8,8.7
11,58122,99.9,8
11,58122,30.7,8
11,58122,42.2,8
11,58122,46.1,8.3
11,58122,137.2,8.3
11,58122,63.1,8
11,58122,44.9,10.7
11,58122,48.8,9.3
11,58122,30.8,10.3
11,58122,41.2,11
11,58122,153.1,8.6
11,58122,60.3,8.5
11,58122,120.4,13.5
11,58122,43.5,9.3
11,58122,28.8,13
11,58122,83.2,10
11,58122,98.9,9
11,58122,36.3,9
11,58122,82.1,9
11,58122,45.4,14.3
11,58122,68.7,9
11,58122,29.4,8.3
11,58122,102,15
11,58122,94.9,9.3
11,58122,25.9,10.7
11,58122,66.8,12.7
11,58122,47.7,8.7
11,58122,122.5,11
11,58122,105.8,13
11,58122,41.6,8.7
11,58122,91.6,17
11,58122,25.6,9.7
11,58122,37.4,13.7
11,58122,109.3,14
11,58122,84.5,13.3
