$Element Number
30
$Element_id  Value
0            0.00000000 0.00000000
1            0.00000000 0.00000000
2            0.00000000 0.00000000
3            0.00000000 0.00000000
4            0.00000000 0.00000000
5            0.00000000 0.00000000
6            0.00000000 0.00000000
7            0.00000000 0.00000000
8            0.00000000 0.00000000
9            0.00010000 0.00000000
10           0.00000000 0.00000000
11           0.00000000 0.00000000
12           0.00000000 0.00000000
13           0.00000000 0.00000000
14           0.00010000 0.00000000
15           0.00000000 0.00000000
16           0.00000000 0.00000000
17           0.00000000 0.00000000
18           0.00000000 0.00000000
19           0.00010000 0.00000000
20           0.00000000 0.00000000
21           0.00000000 0.00000000
22           0.00000000 0.00000000
23           0.00000000 0.00000000
24           0.00010000 0.00000000
25           0.00000000 0.00000000
26           0.00000000 0.00000000
27           0.00000000 0.00000000
28           0.00000000 0.00000000
29           0.00000000 0.00000000
$Boundary Numbers
18
$Element_id Boundary_type
0            3 0 0
1            3 0 0
2            3 0 0
3            3 0 0
4            3 0 0
5            3 0 0
9            2 1 0
10           3 0 0
14           2 1 0
15           3 0 0
19           2 1 0
20           3 0 0
24           2 1 0
25           3 0 0
26           3 0 0
27           3 0 0
28           3 0 0
29           3 0 0
