$Element Number
30
$Element_id  Value
0            0.03500000
1            0.03500000
2            0.03500000
3            0.03500000
4            0.03500000
5            0.03500000
6            0.03500000
7            0.03500000
8            0.03500000
9            0.03500000
10           0.03500000
11           0.03500000
12           0.03500000
13           0.03500000
14           0.03500000
15           0.03500000
16           0.03500000
17           0.03500000
18           0.03500000
19           0.03500000
20           0.03500000
21           0.03500000
22           0.03500000
23           0.03500000
24           0.03500000
25           0.03500000
26           0.03500000
27           0.03500000
28           0.03500000
29           0.03500000
$Boundary Numbers
18
$Element_id Boundary_type
0            2 0 0
1            2 0 0
2            2 0 0
3            2 0 0
4            2 0 0
5            2 0 0
9            2 0 0
10           2 0 0
14           2 0 0
15           2 0 0
19           2 0 0
20           2 0 0
24           2 0 0
25           2 0 0
26           2 0 0
27           2 0 0
28           2 0 0
29           2 0 0
